GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Docs Web/docs-core,com.sismics.docs.core.event,AclDeletedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentUpdatedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.event,AclCreatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,FileCreatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,RebuildIndexAsyncEvent,7,0,0,0,3,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.event,RouteStepValidateEvent,30,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileDeletedAsyncEvent,0,29,0,0,0,11,0,6,0,6
Docs Web/docs-core,com.sismics.docs.core.event,FileEvent,37,0,0,0,14,0,8,0,8,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentCreatedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.event,UserEvent,0,10,0,0,0,4,0,3,0,3
Docs Web/docs-core,com.sismics.docs.core.event,PasswordLostEvent,28,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.event,FileUpdatedAsyncEvent,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.event,DocumentDeletedAsyncEvent,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,org.apache.pdfbox.pdmodel.font,DocsPDType1Font,547,0,74,0,123,0,57,0,20,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteModelDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,AclDto,45,0,0,0,19,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,ContributorDto,17,0,0,0,7,0,5,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,DocumentMetadataDto,51,0,0,0,19,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,GroupDto,54,0,0,0,18,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,DocumentDto,153,0,0,0,64,0,43,0,43,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,UserDto,76,0,0,0,30,0,18,0,18,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RouteStepDto,146,0,0,0,48,0,26,0,26,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,RelationDto,24,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,MetadataDto,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,TagDto,43,0,0,0,16,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,WebhookDto,46,0,0,0,15,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,CommentDto,38,0,0,0,16,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.dao.dto,AuditLogDto,52,0,0,0,22,0,15,0,15,0
Docs Web/docs-core,com.sismics.docs.core.listener.async,FileProcessingAsyncListener,255,7,16,0,60,2,14,2,6,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,FileDeletedAsyncListener,6,67,4,4,1,19,4,5,0,5
Docs Web/docs-core,com.sismics.docs.core.listener.async,RebuildIndexAsyncListener,62,7,8,0,24,2,7,2,3,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,RouteStepValidateAsyncListener,44,7,2,0,11,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,AclDeletedAsyncListener,22,7,2,0,5,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,WebhookAsyncListener,121,14,4,0,30,4,10,2,8,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentDeletedAsyncListener,18,7,2,0,6,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentUpdatedAsyncListener,101,7,10,0,26,2,7,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,PasswordLostAsyncListener,39,7,2,0,11,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,DocumentCreatedAsyncListener,47,7,4,0,14,2,4,2,2,2
Docs Web/docs-core,com.sismics.docs.core.listener.async,AclCreatedAsyncListener,22,7,2,0,5,2,3,2,2,2
Docs Web/docs-core,com.sismics.docs.core.service,FileService.TemporaryPathReference,10,0,0,0,3,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.service,InboxService,529,35,39,1,123,15,28,7,8,7
Docs Web/docs-core,com.sismics.docs.core.service,FileService,42,39,1,1,9,13,4,6,3,6
Docs Web/docs-core,com.sismics.docs.core.service,FileSizeService,19,80,3,5,5,26,3,9,0,8
Docs Web/docs-core,com.sismics.docs.core.util.pdf,PdfPage,306,0,18,0,52,0,17,0,8,0
Docs Web/docs-core,com.sismics.util.log4j,MemoryAppender,116,61,23,3,31,14,16,5,3,5
Docs Web/docs-core,com.sismics.util.log4j,LogEntry,12,15,0,0,4,6,4,1,4,1
Docs Web/docs-core,com.sismics.util.log4j,LogCriteria,29,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.util.context,ThreadLocalContext,15,59,2,6,5,20,3,9,1,7
Docs Web/docs-core,com.sismics.docs.core.util,DirectoryUtil,69,39,11,5,18,12,13,3,5,3
Docs Web/docs-core,com.sismics.docs.core.util,ConfigUtil,28,22,1,1,9,7,5,3,4,3
Docs Web/docs-core,com.sismics.docs.core.util,RoutingUtil,198,0,17,0,43,0,13,0,4,0
Docs Web/docs-core,com.sismics.docs.core.util,PdfUtil,222,41,22,0,47,9,13,2,2,2
Docs Web/docs-core,com.sismics.docs.core.util,FileUtil,424,57,22,4,89,14,19,3,6,3
Docs Web/docs-core,com.sismics.docs.core.util,TransactionUtil,41,61,10,6,12,25,8,4,1,3
Docs Web/docs-core,com.sismics.docs.core.util,DocumentUtil,62,0,0,0,17,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util,SecurityUtil,48,0,11,0,12,0,9,0,3,0
Docs Web/docs-core,com.sismics.docs.core.util,MetadataUtil,373,0,41,0,82,0,30,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util,AuditLogUtil,5,43,1,1,2,12,2,1,1,1
Docs Web/docs-core,com.sismics.docs.core.util,ActionUtil,51,0,4,0,18,0,8,0,5,0
Docs Web/docs-core,com.sismics.docs.core.util,EncryptionUtil,57,53,3,1,11,13,5,4,3,4
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Group,66,0,0,0,23,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Comment,64,0,0,0,25,0,15,0,15,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,AuditLog,38,34,0,0,12,16,7,9,7,9
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Relation,47,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,User,60,66,0,0,21,25,13,16,13,16
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Contributor,40,0,0,0,15,0,8,0,8,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,UserGroup,47,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Role,43,0,0,0,17,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,DocumentTag,47,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Share,39,0,0,0,16,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,RoleBaseFunction,54,0,0,0,21,0,12,0,12,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Acl,74,0,0,0,27,0,15,0,15,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,AuthenticationToken,82,0,0,0,29,0,16,0,16,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,DocumentMetadata,49,0,0,0,18,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Route,66,0,0,0,23,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,BaseFunction,18,0,0,0,7,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Vocabulary,51,0,0,0,19,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,File,98,50,3,1,35,17,24,11,22,11
Docs Web/docs-core,com.sismics.docs.core.model.jpa,RouteStep,151,0,0,0,52,0,28,0,28,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Document,134,0,0,0,56,0,37,0,37,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,PasswordRecovery,39,0,0,0,16,0,10,0,10,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Config,19,6,0,0,8,2,4,2,4,2
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Metadata,53,0,0,0,19,0,11,0,11,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Tag,71,0,0,0,28,0,17,0,17,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,RouteModel,58,0,0,0,21,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.model.jpa,Webhook,62,0,0,0,22,0,13,0,13,0
Docs Web/docs-core,com.sismics.docs.core.util.action,RemoveTagAction,54,0,4,0,12,0,4,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util.action,ProcessFilesAction,80,0,2,0,20,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.util.action,TagAction,38,0,4,0,9,0,4,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util.action,AddTagAction,71,0,6,0,13,0,5,0,2,0
Docs Web/docs-core,com.sismics.util.css,Selector,63,0,2,0,14,0,4,0,3,0
Docs Web/docs-core,com.sismics.util.css,Rule,19,0,0,0,6,0,3,0,3,0
Docs Web/docs-core,com.sismics.util.mime,MimeType,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.util.mime,MimeTypeUtil,49,0,18,0,20,0,17,0,3,0
Docs Web/docs-core,com.sismics.util.io,InputStreamReaderThread,67,0,4,0,14,0,5,0,3,0
Docs Web/docs-core,com.sismics.docs.core.constant,MetadataType,0,54,0,0,0,6,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,ActionType,34,0,0,0,7,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.constant,Constants,122,0,0,0,3,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.constant,AclType,0,24,0,0,0,5,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,ConfigType,0,304,0,0,0,39,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,RouteStepTransition,0,34,0,0,0,7,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,AclTargetType,34,0,0,0,7,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.constant,AuditLogType,0,34,0,0,0,7,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,PermType,0,24,0,0,0,5,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,RouteStepType,0,24,0,0,0,5,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.constant,WebhookEvent,0,64,0,0,0,7,0,1,0,1
Docs Web/docs-core,com.sismics.docs.core.dao,AclDao,332,0,20,0,81,0,16,0,6,0
Docs Web/docs-core,com.sismics.docs.core.dao,ConfigDao,32,14,3,1,13,4,3,2,1,2
Docs Web/docs-core,com.sismics.docs.core.dao,RouteDao,178,0,4,0,40,0,6,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,UserDao,566,109,24,2,130,27,23,6,10,6
Docs Web/docs-core,com.sismics.docs.core.dao,PasswordRecoveryDao,85,0,0,0,20,0,4,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,GroupDao,448,0,28,0,103,0,24,0,10,0
Docs Web/docs-core,com.sismics.docs.core.dao,RoleBaseFunctionDao,33,0,0,0,8,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.dao,ContributorDao,100,0,2,0,24,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,CommentDao,164,0,2,0,39,0,6,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao,WebhookDao,178,0,4,0,41,0,7,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao,DocumentDao,509,0,4,0,113,0,12,0,10,0
Docs Web/docs-core,com.sismics.docs.core.dao,FileDao,289,45,4,0,74,12,15,3,13,3
Docs Web/docs-core,com.sismics.docs.core.dao,RelationDao,183,0,14,0,41,0,10,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao,AuthenticationTokenDao,171,0,2,0,44,0,9,0,8,0
Docs Web/docs-core,com.sismics.docs.core.dao,AuditLogDao,174,21,8,0,33,6,5,2,1,2
Docs Web/docs-core,com.sismics.docs.core.dao,DocumentMetadataDao,136,0,2,0,29,0,5,0,4,0
Docs Web/docs-core,com.sismics.docs.core.dao,ShareDao,62,0,0,0,17,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao,TagDao,390,0,22,0,91,0,18,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao,RouteStepDao,346,0,18,0,71,0,14,0,5,0
Docs Web/docs-core,com.sismics.docs.core.dao,VocabularyDao,94,0,0,0,27,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.dao,RouteModelDao,237,0,6,0,54,0,10,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao,MetadataDao,192,0,2,0,45,0,7,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.format,TextPlainFormatHandler,72,0,4,0,16,0,7,0,5,0
Docs Web/docs-core,com.sismics.docs.core.util.format,VideoFormatHandler,154,0,4,0,25,0,7,0,5,0
Docs Web/docs-core,com.sismics.docs.core.util.format,PdfFormatHandler,148,0,10,0,31,0,11,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.format,ImageFormatHandler,211,0,19,0,36,0,15,0,5,0
Docs Web/docs-core,com.sismics.docs.core.util.format,PptxFormatHandler,158,0,6,0,30,0,10,0,7,0
Docs Web/docs-core,com.sismics.docs.core.util.format,OdtFormatHandler,73,0,2,0,14,0,7,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.format,DocxFormatHandler,75,0,2,0,14,0,7,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.format,FormatHandlerUtil,44,0,4,0,10,0,5,0,3,0
Docs Web/docs-core,com.sismics.docs.core.util.authentication,AuthenticationUtil,55,0,4,0,14,0,6,0,4,0
Docs Web/docs-core,com.sismics.docs.core.util.authentication,InternalAuthenticationHandler,12,0,0,0,3,0,2,0,2,0
Docs Web/docs-core,com.sismics.docs.core.util.authentication,LdapAuthenticationHandler,176,0,14,0,47,0,11,0,4,0
Docs Web/docs-core,com.sismics.util.totp,KeyRepresentation,24,0,0,0,3,0,1,0,1,0
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorException,9,0,0,0,4,0,2,0,2,0
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorKey,24,0,0,0,8,0,4,0,4,0
Docs Web/docs-core,com.sismics.util.totp,ReseedingSecureRandom,168,0,16,0,42,0,13,0,5,0
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorConfig.GoogleAuthenticatorConfigBuilder,89,0,12,0,24,0,12,0,6,0
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticator,407,0,32,0,81,0,33,0,16,0
Docs Web/docs-core,com.sismics.util.totp,GoogleAuthenticatorConfig,40,0,0,0,11,0,6,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.indexing,LuceneIndexingHandler,1340,100,116,4,266,26,83,8,23,8
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,RouteStepCriteria,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,TagCriteria,27,0,0,0,10,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,AuditLogCriteria,28,0,0,0,11,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,UserCriteria,35,0,0,0,13,0,9,0,9,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,MetadataCriteria,3,0,0,0,1,0,1,0,1,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,WebhookCriteria,11,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,RouteCriteria,11,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,GroupCriteria,30,0,0,0,11,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,RouteModelCriteria,11,0,0,0,4,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.dao.criteria,DocumentCriteria,111,0,0,0,43,0,28,0,28,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,PaginatedLists,93,0,6,0,24,0,9,0,6,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,QueryParam,15,0,0,0,6,0,3,0,3,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,SortCriteria,24,0,4,0,9,0,5,0,3,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,PaginatedList,29,0,0,0,12,0,7,0,7,0
Docs Web/docs-core,com.sismics.docs.core.util.jpa,QueryUtil,68,0,6,0,12,0,6,0,3,0
Docs Web/docs-web-common,com.sismics.util.filter,TokenBasedSecurityFilter,134,0,24,0,29,0,17,0,5,0
Docs Web/docs-web-common,com.sismics.util.filter,JwtBasedSecurityFilter,295,0,14,0,75,0,17,0,10,0
Docs Web/docs-web-common,com.sismics.util.filter,SecurityFilter,146,0,12,0,39,0,15,0,9,0
Docs Web/docs-web-common,com.sismics.util.filter,RequestContextFilter,206,0,22,0,65,0,17,0,6,0
Docs Web/docs-web-common,com.sismics.util.filter,HeaderBasedSecurityFilter,38,0,8,0,10,0,7,0,3,0
Docs Web/docs-web-common,com.sismics.util.filter,CorsFilter,54,0,6,0,16,0,7,0,4,0
Docs Web/docs-web-common,com.sismics.util.listener,IIOProviderContextListener.LocalFilter,16,0,2,0,4,0,3,0,2,0
Docs Web/docs-web-common,com.sismics.util.listener,IIOProviderContextListener,82,0,6,0,19,0,7,0,4,0
Docs Web/docs-web-common,com.sismics.security,AnonymousPrincipal,22,0,0,0,11,0,9,0,9,0
Docs Web/docs-web-common,com.sismics.security,UserPrincipal,58,0,0,0,24,0,15,0,15,0
Docs Web/docs-web-common,com.sismics.rest.util,ValidationUtil,326,0,34,0,54,0,33,0,16,0
Docs Web/docs-web-common,com.sismics.rest.util,RestUtil,66,0,2,0,13,0,3,0,2,0
Docs Web/docs-web-common,com.sismics.rest.util,AclUtil,60,0,2,0,13,0,3,0,2,0
Docs Web/docs-web-common,com.sismics.rest.exception,ClientException,30,0,0,0,8,0,3,0,3,0
Docs Web/docs-web-common,com.sismics.rest.exception,ServerException,30,0,0,0,8,0,3,0,3,0
Docs Web/docs-web-common,com.sismics.rest.exception,ForbiddenClientException,15,0,0,0,4,0,1,0,1,0
